# Datenexport DiDok 3.0
# Verkehrspunktelemente actual date
# Erstellt am: 30.03.2020 23:04:08
# Bei Fragen zu den Daten wenden Sie sich an Fachstelle DiDok <didok@sbb.ch>
# (c) Fachstelle DiDok
############################################################################
SLOID;DS_NUMMER;DS_LAENDERCODE;GUELTIG_VON;GUELTIG_BIS;BEZEICHNUNG;BEZEICHNUNG_BETRIEBLICH;LAENGE;KANTENHOEHE;KOMPASSRICHTUNG;BPVE_ID;BPVE_TYPE;HALTEBEREICH_TYPE;E_LV95;N_LV95;Z_LV95;E_LV03;N_LV03;Z_LV03;E_WGS84;N_WGS84;Z_WGS84;DIDOK_CODE;GEAENDERT_AM;DS_SLOID;DS_BEZEICHNUNG_OFFIZIELL;DS_GO_IDENTIFIKATION;DS_GO_NUMMER;DS_GO_ABKUERZUNG_DE;DS_GO_ABKUERZUNG_FR;DS_GO_ABKUERZUNG_IT;DS_GO_ABKUERZUNG_EN
ch:1:sloid:5106:0:707233;5106;85;2020-01-06;2099-12-31;;frmi01;15;24;132;;0;0;2491319.24;1123075.18;-9999;491320.0;123075.0;-9999;6.02931878;46.25030656;-9999;85051060;2019-12-06 08:03:46;ch:1:sloid:5106;Saint-Genis, Mitterrand;100680;881;TPG;TPG;TPG;TPG
ch:1:sloid:5106:0:509810;5106;85;2020-01-06;2099-12-31;;frmi00;25;24;313;;0;0;2491315.24;1123095.18;-9999;491316.0;123095.0;-9999;6.02926224;46.2504858;-9999;85051060;2019-12-06 08:03:45;ch:1:sloid:5106;Saint-Genis, Mitterrand;100680;881;TPG;TPG;TPG;TPG
ch:1:sloid:5103:0:270996;5103;85;2020-01-06;2099-12-31;;fauc01;15;24;19;;0;0;2491044.23;1123134.18;-9999;491045.0;123134.0;-9999;6.02573958;46.25079266;-9999;85051037;2019-12-06 08:03:43;ch:1:sloid:5103;Saint-Genis, CERN Alice;100680;881;TPG;TPG;TPG;TPG
ch:1:sloid:5103:0:253012;5103;85;2020-01-06;2099-12-31;;fauc00;15;24;198;;0;0;2491023.23;1123129.18;-9999;491024.0;123129.0;-9999;6.02546848;46.25074428;-9999;85051037;2019-12-06 08:03:42;ch:1:sloid:5103;Saint-Genis, CERN Alice;100680;881;TPG;TPG;TPG;TPG
ch:1:sloid:4811:0:445911;4811;85;2020-01-06;2099-12-31;;poem01;15;10;43;;0;0;2489954.25;1121720.18;-9999;489955.0;121720.0;-9999;6.01194192;46.23789727;-9999;85048116;2019-12-06 08:03:29;ch:1:sloid:4811;Thoiry, Pôle emploi;100680;881;TPG;TPG;TPG;TPG
ch:1:sloid:4811:0:893246;4811;85;2020-01-06;2099-12-31;;poem00;15;24;227;;0;0;2489908.25;1121689.18;-9999;489909.0;121689.0;-9999;6.01135299;46.23761091;-9999;85048116;2019-12-06 08:03:27;ch:1:sloid:4811;Thoiry, Pôle emploi;100680;881;TPG;TPG;TPG;TPG
ch:1:sloid:5102:0:390003;5102;85;2020-01-06;2099-12-31;;clvi01;20;13;52;;0;0;2490292.25;1122006.17;-9999;490293.0;122006.0;-9999;6.01625574;46.24052481;-9999;85051029;2019-12-06 08:03:41;ch:1:sloid:5102;Saint-Genis, Clos des Vignes;100680;881;TPG;TPG;TPG;TPG
ch:1:sloid:5102:0:411125;5102;85;2020-01-06;2099-12-31;;clvi00;15;14;229;;0;0;2490326.25;1122046.18;-9999;490327.0;122046.0;-9999;6.01668705;46.24089014;-9999;85051029;2019-12-06 08:03:40;ch:1:sloid:5102;Saint-Genis, Clos des Vignes;100680;881;TPG;TPG;TPG;TPG
ch:1:sloid:5107:0:104864;5107;85;2020-01-06;2099-12-31;;sgce01;15;10;47;;0;0;2490762.26;1122198.18;-9999;490763.0;122198.0;-9999;6.0223032;46.24232834;-9999;85051078;2019-12-06 08:03:48;ch:1:sloid:5107;Saint-Genis, théâtre;100680;881;TPG;TPG;TPG;TPG
ch:1:sloid:5107:0:809650;5107;85;2020-01-06;2099-12-31;;sgce00;15;10;227;;0;0;2490753.26;1122198.18;-9999;490754.0;122198.0;-9999;6.02218653;46.24232687;-9999;85051078;2019-12-06 08:03:47;ch:1:sloid:5107;Saint-Genis, théâtre;100680;881;TPG;TPG;TPG;TPG
